EYEAR,GENDER,GRADTERM,ALLENR4,ALLENR7,ALLENR10,FirstGen,gradin4,gradin5,gradin6,BIPOC,PellEver,Group,Group2,Count,BIPOCFmt,FGFmt,PellFmt
2014,M,11,1,1,1,0,1,1,1,1,1,3. Other,2. Other,1,BIPOC,Not first gen,Pell
2014,F,15,1,1,1,1,0,1,1,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,12,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,,0,0,0,1,0,0,0,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2015,F,11,1,1,1,1,1,1,,0,0,3. Other,2. Other,1,Not BIPOC,First gen,Not Pell
2015,F,11,1,1,1,1,1,1,,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2015,M,14,1,1,1,1,0,1,,0,0,3. Other,2. Other,1,Not BIPOC,First gen,Not Pell
2016,M,,1,1,1,1,0,,,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2014,F,14,1,1,1,0,0,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,M,12,1,1,1,0,1,1,1,1,1,3. Other,2. Other,1,BIPOC,Not first gen,Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2015,M,10,1,1,1,0,1,1,,0,0,1. Rural,1. Rural/Small Rural,1,Not BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,F,12,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,14,1,1,1,1,0,1,1,1,0,3. Other,2. Other,1,BIPOC,First gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,1,1,1,1,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2014,F,19,0,1,1,1,0,0,0,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2014,M,14,1,1,1,1,0,1,1,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2016,M,,1,1,1,1,0,,,0,0,1. Rural,1. Rural/Small Rural,1,Not BIPOC,First gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,16,1,1,1,1,0,0,1,0,0,3. Other,2. Other,1,Not BIPOC,First gen,Not Pell
2017,F,,1,1,0,0,,,,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,M,14,1,0,1,1,0,1,1,0,1,1. Rural,1. Rural/Small Rural,1,Not BIPOC,First gen,Pell
2014,M,,1,1,1,0,0,0,0,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2015,F,,1,0,0,1,0,0,,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2015,F,12,1,1,1,1,1,1,,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2015,M,12,1,1,1,1,1,1,,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2015,F,11,1,1,1,1,1,1,,1,0,3. Other,2. Other,1,BIPOC,First gen,Not Pell
2015,M,14,1,1,1,1,0,1,,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2015,F,11,1,1,1,1,1,1,,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,,1,0,0,0,0,0,0,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,0,1,1. Rural,1. Rural/Small Rural,1,Not BIPOC,Not first gen,Pell
2014,F,11,1,1,1,0,1,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,M,,1,1,1,0,0,0,0,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,,1,1,0,1,0,0,0,0,1,3. Other,2. Other,1,Not BIPOC,First gen,Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,,0,0,0,0,0,0,0,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,,1,0,0,0,0,0,0,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,13,1,1,1,0,0,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,14,1,1,1,0,0,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,11,1,1,0,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,1,1. Rural,1. Rural/Small Rural,1,Not BIPOC,Not first gen,Pell
2014,F,14,1,1,1,0,0,1,1,1,1,3. Other,2. Other,1,BIPOC,Not first gen,Pell
2015,M,11,1,1,1,0,1,1,,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2015,F,11,1,1,1,0,1,1,,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,,1,0,0,1,0,0,0,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2015,M,,1,0,0,0,0,0,,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,M,9,1,1,,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,1,1,3. Other,2. Other,1,BIPOC,Not first gen,Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,2. Small Rural,1. Rural/Small Rural,1,Not BIPOC,Not first gen,Not Pell
2014,M,,0,0,0,0,0,0,0,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,12,1,1,1,0,1,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,14,1,1,1,0,0,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,,0,0,0,1,0,0,0,1,0,3. Other,2. Other,1,BIPOC,First gen,Not Pell
2014,M,14,1,1,1,0,0,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,,0,0,0,0,0,0,0,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2015,M,15,1,1,1,0,0,1,,0,1,3. Other,2. Other,1,Not BIPOC,Not first gen,Pell
2014,M,11,1,1,1,1,1,1,1,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,1,3. Other,2. Other,1,Not BIPOC,Not first gen,Pell
2015,F,,0,0,0,0,0,0,,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,F,,0,0,0,0,0,0,0,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2015,F,11,1,1,1,0,1,1,,0,1,3. Other,2. Other,1,Not BIPOC,Not first gen,Pell
2014,F,11,1,1,1,0,1,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,10,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,1,1,1,1,0,1,3. Other,2. Other,1,Not BIPOC,First gen,Pell
2014,M,,1,0,0,0,0,0,0,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,M,,1,1,1,0,0,0,0,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2015,M,,1,0,0,1,0,0,,0,0,1. Rural,1. Rural/Small Rural,1,Not BIPOC,First gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,13,1,1,1,0,0,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,19,1,1,1,0,0,0,0,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2015,F,11,1,1,1,0,1,1,,1,1,3. Other,2. Other,1,BIPOC,Not first gen,Pell
2014,M,11,1,1,1,1,1,1,1,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2014,M,10,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,10,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,14,1,1,1,0,0,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,7,1,1,,1,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,First gen,Not Pell
2014,M,17,1,0,1,0,0,0,1,0,1,3. Other,2. Other,1,Not BIPOC,Not first gen,Pell
2014,F,18,1,1,1,0,0,0,1,1,1,3. Other,2. Other,1,BIPOC,Not first gen,Pell
2014,F,12,1,1,1,0,1,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,M,14,1,1,1,1,0,1,1,1,0,3. Other,2. Other,1,BIPOC,First gen,Not Pell
2014,M,15,1,1,1,0,0,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,,0,0,0,0,0,0,0,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,,1,1,1,0,0,0,0,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,,1,0,0,0,0,0,0,0,1,3. Other,2. Other,1,Not BIPOC,Not first gen,Pell
2014,M,14,1,1,1,0,0,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,M,,1,0,0,0,0,0,0,1,1,1. Rural,1. Rural/Small Rural,1,BIPOC,Not first gen,Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,19,1,1,1,0,0,0,0,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,,0,0,0,0,0,0,0,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,,1,0,0,1,0,0,0,0,0,3. Other,2. Other,1,Not BIPOC,First gen,Not Pell
2014,M,10,1,1,1,0,1,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2015,M,11,1,1,1,0,1,1,,1,1,3. Other,2. Other,1,BIPOC,Not first gen,Pell
2015,M,,1,0,0,0,0,0,,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,1,3. Other,2. Other,1,Not BIPOC,Not first gen,Pell
2015,M,,0,0,0,0,0,0,,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2015,F,10,1,1,1,0,1,1,,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,0,1,1. Rural,1. Rural/Small Rural,1,Not BIPOC,Not first gen,Pell
2014,F,11,1,1,1,1,1,1,1,1,0,3. Other,2. Other,1,BIPOC,First gen,Not Pell
2014,F,,1,0,0,1,0,0,0,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2014,M,,1,1,0,0,0,0,0,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,1,1,3. Other,2. Other,1,BIPOC,Not first gen,Pell
2014,F,10,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,13,1,1,1,0,0,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2015,M,11,1,1,1,0,1,1,,1,1,1. Rural,1. Rural/Small Rural,1,BIPOC,Not first gen,Pell
2014,F,,1,1,1,0,0,0,0,1,1,3. Other,2. Other,1,BIPOC,Not first gen,Pell
2014,M,,0,0,0,0,0,0,0,0,0,1. Rural,1. Rural/Small Rural,1,Not BIPOC,Not first gen,Not Pell
2014,M,12,1,1,1,0,1,1,1,0,0,1. Rural,1. Rural/Small Rural,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,1,1,1,1,0,1,1. Rural,1. Rural/Small Rural,1,Not BIPOC,First gen,Pell
2014,F,11,1,1,1,0,1,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,1. Rural,1. Rural/Small Rural,1,Not BIPOC,Not first gen,Not Pell
2014,M,13,1,1,1,0,0,1,1,0,1,1. Rural,1. Rural/Small Rural,1,Not BIPOC,Not first gen,Pell
2014,F,11,1,1,1,0,1,1,1,0,1,1. Rural,1. Rural/Small Rural,1,Not BIPOC,Not first gen,Pell
2014,F,11,1,1,1,0,1,1,1,0,0,1. Rural,1. Rural/Small Rural,1,Not BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,,1,1,1,1,0,0,0,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2014,F,,1,0,0,0,0,0,0,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,17,1,1,1,1,0,0,1,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2014,M,14,1,1,1,0,0,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,M,14,1,1,1,0,0,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,1,1,1,1,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2016,M,,1,1,0,1,0,,,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2015,F,11,1,1,1,0,1,1,,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2015,M,11,1,1,1,0,1,1,,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2015,M,12,1,1,1,0,1,1,,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2015,F,13,1,1,1,1,0,1,,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2015,M,,1,0,0,1,0,0,,0,1,3. Other,2. Other,1,Not BIPOC,First gen,Pell
2015,M,13,1,1,1,0,0,1,,1,1,3. Other,2. Other,1,BIPOC,Not first gen,Pell
2015,M,,1,0,1,0,0,0,,0,1,3. Other,2. Other,1,Not BIPOC,Not first gen,Pell
2014,M,11,1,1,1,0,1,1,1,0,0,2. Small Rural,1. Rural/Small Rural,1,Not BIPOC,Not first gen,Not Pell
2015,F,11,1,1,1,1,1,1,,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2015,M,12,1,1,1,1,1,1,,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2015,F,11,1,1,1,0,1,1,,0,0,1. Rural,1. Rural/Small Rural,1,Not BIPOC,Not first gen,Not Pell
2015,M,,0,0,0,0,0,0,,0,1,3. Other,2. Other,1,Not BIPOC,Not first gen,Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,,1,0,1,1,0,0,0,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2015,M,,1,0,1,1,0,0,,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2014,M,14,1,1,1,0,0,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,,1,1,1,0,0,0,0,0,0,1. Rural,1. Rural/Small Rural,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,,0,0,0,1,0,0,0,0,0,3. Other,2. Other,1,Not BIPOC,First gen,Not Pell
2014,M,,0,0,0,0,0,0,0,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,16,1,1,1,0,0,0,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,M,12,1,1,1,0,1,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,13,1,1,1,0,0,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2015,F,,1,1,1,0,0,0,,1,1,3. Other,2. Other,1,BIPOC,Not first gen,Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,14,1,1,1,0,0,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,14,1,1,1,0,0,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,1,1,1,1,1,1,3. Other,2. Other,1,BIPOC,First gen,Pell
2015,F,11,1,1,1,0,1,1,,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,F,13,1,1,1,0,0,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2015,M,11,1,1,1,0,1,1,,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,F,11,1,1,1,0,1,1,1,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2015,F,,1,0,0,1,0,0,,0,1,3. Other,2. Other,1,Not BIPOC,First gen,Pell
2015,M,,1,1,1,0,0,0,,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,1,1,1,1,0,0,1. Rural,1. Rural/Small Rural,1,Not BIPOC,First gen,Not Pell
2014,F,13,1,1,1,1,0,1,1,0,1,2. Small Rural,1. Rural/Small Rural,1,Not BIPOC,First gen,Pell
2014,F,,0,0,0,0,0,0,0,1,0,3. Other,2. Other,1,BIPOC,Not first gen,Not Pell
2015,M,11,1,1,0,0,1,1,,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2017,F,,1,1,1,0,,,,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
2014,M,11,1,1,1,0,1,1,1,0,1,3. Other,2. Other,1,Not BIPOC,Not first gen,Pell
2014,F,11,1,1,1,0,1,1,1,0,0,3. Other,2. Other,1,Not BIPOC,Not first gen,Not Pell
